method,class_id,prompt,seed,ratio,beta,image_path,time_sec,peak_mem_gb
full,494,a photo of a chime,0,0.0,0.0,generated/full/class_0494_seed0_a_photo_of_a_chime.png,5.1034,6.1226
full,494,a photo of a chime,1,0.0,0.0,generated/full/class_0494_seed1_a_photo_of_a_chime.png,5.1009,6.1226
full,495,a photo of a china cabinet,0,0.0,0.0,generated/full/class_0495_seed0_a_photo_of_a_china_cabinet.png,5.0759,6.1226
full,495,a photo of a china cabinet,1,0.0,0.0,generated/full/class_0495_seed1_a_photo_of_a_china_cabinet.png,5.0158,6.1226
full,496,a photo of a Christmas stocking,0,0.0,0.0,generated/full/class_0496_seed0_a_photo_of_a_Christmas_stocking.png,5.0014,6.1226
full,496,a photo of a Christmas stocking,1,0.0,0.0,generated/full/class_0496_seed1_a_photo_of_a_Christmas_stocking.png,4.9853,6.1226
full,497,a photo of a church,0,0.0,0.0,generated/full/class_0497_seed0_a_photo_of_a_church.png,4.9938,6.1226
full,497,a photo of a church,1,0.0,0.0,generated/full/class_0497_seed1_a_photo_of_a_church.png,5.0157,6.1226
full,498,a photo of a cinema,0,0.0,0.0,generated/full/class_0498_seed0_a_photo_of_a_cinema.png,5.0025,6.1226
full,498,a photo of a cinema,1,0.0,0.0,generated/full/class_0498_seed1_a_photo_of_a_cinema.png,5.1894,6.1226
full,499,a photo of a cleaver,0,0.0,0.0,generated/full/class_0499_seed0_a_photo_of_a_cleaver.png,5.2172,6.1226
full,499,a photo of a cleaver,1,0.0,0.0,generated/full/class_0499_seed1_a_photo_of_a_cleaver.png,5.1821,6.1226
full,500,a photo of a cliff dwelling,0,0.0,0.0,generated/full/class_0500_seed0_a_photo_of_a_cliff_dwelling.png,5.0692,6.1226
full,500,a photo of a cliff dwelling,1,0.0,0.0,generated/full/class_0500_seed1_a_photo_of_a_cliff_dwelling.png,5.0809,6.1226
full,501,a photo of a cloak,0,0.0,0.0,generated/full/class_0501_seed0_a_photo_of_a_cloak.png,5.2110,6.1226
full,501,a photo of a cloak,1,0.0,0.0,generated/full/class_0501_seed1_a_photo_of_a_cloak.png,5.1317,6.1226
full,502,a photo of a clog,0,0.0,0.0,generated/full/class_0502_seed0_a_photo_of_a_clog.png,5.1210,6.1226
full,502,a photo of a clog,1,0.0,0.0,generated/full/class_0502_seed1_a_photo_of_a_clog.png,5.0804,6.1226
full,503,a photo of a cocktail shaker,0,0.0,0.0,generated/full/class_0503_seed0_a_photo_of_a_cocktail_shaker.png,5.1026,6.1226
full,503,a photo of a cocktail shaker,1,0.0,0.0,generated/full/class_0503_seed1_a_photo_of_a_cocktail_shaker.png,5.0940,6.1226
full,504,a photo of a coffee mug,0,0.0,0.0,generated/full/class_0504_seed0_a_photo_of_a_coffee_mug.png,5.1097,6.1226
full,504,a photo of a coffee mug,1,0.0,0.0,generated/full/class_0504_seed1_a_photo_of_a_coffee_mug.png,5.0695,6.1226
full,505,a photo of a coffeepot,0,0.0,0.0,generated/full/class_0505_seed0_a_photo_of_a_coffeepot.png,5.0652,6.1226
full,505,a photo of a coffeepot,1,0.0,0.0,generated/full/class_0505_seed1_a_photo_of_a_coffeepot.png,5.0856,6.1226
full,506,a photo of a coil,0,0.0,0.0,generated/full/class_0506_seed0_a_photo_of_a_coil.png,5.0808,6.1226
full,506,a photo of a coil,1,0.0,0.0,generated/full/class_0506_seed1_a_photo_of_a_coil.png,5.0790,6.1226
full,507,a photo of a combination lock,0,0.0,0.0,generated/full/class_0507_seed0_a_photo_of_a_combination_lock.png,5.1051,6.1226
full,507,a photo of a combination lock,1,0.0,0.0,generated/full/class_0507_seed1_a_photo_of_a_combination_lock.png,5.0710,6.1226
full,508,a photo of a computer keyboard,0,0.0,0.0,generated/full/class_0508_seed0_a_photo_of_a_computer_keyboard.png,5.0480,6.1226
full,508,a photo of a computer keyboard,1,0.0,0.0,generated/full/class_0508_seed1_a_photo_of_a_computer_keyboard.png,5.0981,6.1226
full,509,a photo of a confectionery,0,0.0,0.0,generated/full/class_0509_seed0_a_photo_of_a_confectionery.png,5.1250,6.1226
full,509,a photo of a confectionery,1,0.0,0.0,generated/full/class_0509_seed1_a_photo_of_a_confectionery.png,5.1105,6.1226
full,510,a photo of a container ship,0,0.0,0.0,generated/full/class_0510_seed0_a_photo_of_a_container_ship.png,5.1326,6.1226
full,510,a photo of a container ship,1,0.0,0.0,generated/full/class_0510_seed1_a_photo_of_a_container_ship.png,5.0728,6.1226
full,511,a photo of a convertible,0,0.0,0.0,generated/full/class_0511_seed0_a_photo_of_a_convertible.png,5.1138,6.1226
full,511,a photo of a convertible,1,0.0,0.0,generated/full/class_0511_seed1_a_photo_of_a_convertible.png,5.1290,6.1226
full,512,a photo of a corkscrew,0,0.0,0.0,generated/full/class_0512_seed0_a_photo_of_a_corkscrew.png,5.1594,6.1226
full,512,a photo of a corkscrew,1,0.0,0.0,generated/full/class_0512_seed1_a_photo_of_a_corkscrew.png,5.1346,6.1226
full,513,a photo of a cornet,0,0.0,0.0,generated/full/class_0513_seed0_a_photo_of_a_cornet.png,5.1038,6.1226
full,513,a photo of a cornet,1,0.0,0.0,generated/full/class_0513_seed1_a_photo_of_a_cornet.png,5.1159,6.1226
full,514,a photo of a cowboy boot,0,0.0,0.0,generated/full/class_0514_seed0_a_photo_of_a_cowboy_boot.png,5.1405,6.1226
full,514,a photo of a cowboy boot,1,0.0,0.0,generated/full/class_0514_seed1_a_photo_of_a_cowboy_boot.png,5.1656,6.1226
full,515,a photo of a cowboy hat,0,0.0,0.0,generated/full/class_0515_seed0_a_photo_of_a_cowboy_hat.png,5.2131,6.1226
full,515,a photo of a cowboy hat,1,0.0,0.0,generated/full/class_0515_seed1_a_photo_of_a_cowboy_hat.png,5.1717,6.1226
full,516,a photo of a cradle,0,0.0,0.0,generated/full/class_0516_seed0_a_photo_of_a_cradle.png,5.1816,6.1226
full,516,a photo of a cradle,1,0.0,0.0,generated/full/class_0516_seed1_a_photo_of_a_cradle.png,5.2222,6.1226
full,517,a photo of a crane,0,0.0,0.0,generated/full/class_0517_seed0_a_photo_of_a_crane.png,5.2079,6.1226
full,517,a photo of a crane,1,0.0,0.0,generated/full/class_0517_seed1_a_photo_of_a_crane.png,5.2321,6.1226
full,518,a photo of a crash helmet,0,0.0,0.0,generated/full/class_0518_seed0_a_photo_of_a_crash_helmet.png,5.1808,6.1226
full,518,a photo of a crash helmet,1,0.0,0.0,generated/full/class_0518_seed1_a_photo_of_a_crash_helmet.png,5.2031,6.1226
full,519,a photo of a crate,0,0.0,0.0,generated/full/class_0519_seed0_a_photo_of_a_crate.png,5.2183,6.1226
full,519,a photo of a crate,1,0.0,0.0,generated/full/class_0519_seed1_a_photo_of_a_crate.png,5.1879,6.1226
full,520,a photo of a crib,0,0.0,0.0,generated/full/class_0520_seed0_a_photo_of_a_crib.png,5.1467,6.1226
full,520,a photo of a crib,1,0.0,0.0,generated/full/class_0520_seed1_a_photo_of_a_crib.png,5.1294,6.1226
full,521,a photo of a Crock Pot,0,0.0,0.0,generated/full/class_0521_seed0_a_photo_of_a_Crock_Pot.png,5.1160,6.1226
full,521,a photo of a Crock Pot,1,0.0,0.0,generated/full/class_0521_seed1_a_photo_of_a_Crock_Pot.png,5.1521,6.1226
full,522,a photo of a croquet ball,0,0.0,0.0,generated/full/class_0522_seed0_a_photo_of_a_croquet_ball.png,5.1392,6.1226
full,522,a photo of a croquet ball,1,0.0,0.0,generated/full/class_0522_seed1_a_photo_of_a_croquet_ball.png,5.1479,6.1226
full,523,a photo of a crutch,0,0.0,0.0,generated/full/class_0523_seed0_a_photo_of_a_crutch.png,5.0853,6.1226
full,523,a photo of a crutch,1,0.0,0.0,generated/full/class_0523_seed1_a_photo_of_a_crutch.png,5.1036,6.1226
full,524,a photo of a cuirass,0,0.0,0.0,generated/full/class_0524_seed0_a_photo_of_a_cuirass.png,5.1565,6.1226
full,524,a photo of a cuirass,1,0.0,0.0,generated/full/class_0524_seed1_a_photo_of_a_cuirass.png,5.1562,6.1226
full,525,a photo of a dam,0,0.0,0.0,generated/full/class_0525_seed0_a_photo_of_a_dam.png,5.2123,6.1226
full,525,a photo of a dam,1,0.0,0.0,generated/full/class_0525_seed1_a_photo_of_a_dam.png,5.2189,6.1226
full,526,a photo of a desk,0,0.0,0.0,generated/full/class_0526_seed0_a_photo_of_a_desk.png,5.2308,6.1226
full,526,a photo of a desk,1,0.0,0.0,generated/full/class_0526_seed1_a_photo_of_a_desk.png,5.1753,6.1226
full,527,a photo of a desktop computer,0,0.0,0.0,generated/full/class_0527_seed0_a_photo_of_a_desktop_computer.png,5.1567,6.1226
full,527,a photo of a desktop computer,1,0.0,0.0,generated/full/class_0527_seed1_a_photo_of_a_desktop_computer.png,5.1923,6.1226
full,528,a photo of a dial telephone,0,0.0,0.0,generated/full/class_0528_seed0_a_photo_of_a_dial_telephone.png,5.2093,6.1226
full,528,a photo of a dial telephone,1,0.0,0.0,generated/full/class_0528_seed1_a_photo_of_a_dial_telephone.png,5.2175,6.1226
full,529,a photo of a diaper,0,0.0,0.0,generated/full/class_0529_seed0_a_photo_of_a_diaper.png,5.2381,6.1226
full,529,a photo of a diaper,1,0.0,0.0,generated/full/class_0529_seed1_a_photo_of_a_diaper.png,5.1665,6.1226
full,530,a photo of a digital clock,0,0.0,0.0,generated/full/class_0530_seed0_a_photo_of_a_digital_clock.png,5.1998,6.1226
full,530,a photo of a digital clock,1,0.0,0.0,generated/full/class_0530_seed1_a_photo_of_a_digital_clock.png,5.1599,6.1226
full,531,a photo of a digital watch,0,0.0,0.0,generated/full/class_0531_seed0_a_photo_of_a_digital_watch.png,5.1489,6.1226
full,531,a photo of a digital watch,1,0.0,0.0,generated/full/class_0531_seed1_a_photo_of_a_digital_watch.png,5.1872,6.1226
full,532,a photo of a dining table,0,0.0,0.0,generated/full/class_0532_seed0_a_photo_of_a_dining_table.png,5.1962,6.1226
full,532,a photo of a dining table,1,0.0,0.0,generated/full/class_0532_seed1_a_photo_of_a_dining_table.png,5.2389,6.1226
full,533,a photo of a dishrag,0,0.0,0.0,generated/full/class_0533_seed0_a_photo_of_a_dishrag.png,5.2121,6.1226
full,533,a photo of a dishrag,1,0.0,0.0,generated/full/class_0533_seed1_a_photo_of_a_dishrag.png,5.2026,6.1226
full,534,a photo of a dishwasher,0,0.0,0.0,generated/full/class_0534_seed0_a_photo_of_a_dishwasher.png,5.2940,6.1226
full,534,a photo of a dishwasher,1,0.0,0.0,generated/full/class_0534_seed1_a_photo_of_a_dishwasher.png,5.2458,6.1226
full,535,a photo of a disk brake,0,0.0,0.0,generated/full/class_0535_seed0_a_photo_of_a_disk_brake.png,5.1373,6.1226
full,535,a photo of a disk brake,1,0.0,0.0,generated/full/class_0535_seed1_a_photo_of_a_disk_brake.png,5.1663,6.1226
full,536,a photo of a dock,0,0.0,0.0,generated/full/class_0536_seed0_a_photo_of_a_dock.png,5.1006,6.1226
full,536,a photo of a dock,1,0.0,0.0,generated/full/class_0536_seed1_a_photo_of_a_dock.png,5.1308,6.1226
full,537,a photo of a dogsled,0,0.0,0.0,generated/full/class_0537_seed0_a_photo_of_a_dogsled.png,5.1657,6.1226
full,537,a photo of a dogsled,1,0.0,0.0,generated/full/class_0537_seed1_a_photo_of_a_dogsled.png,5.1753,6.1226
full,538,a photo of a dome,0,0.0,0.0,generated/full/class_0538_seed0_a_photo_of_a_dome.png,5.1399,6.1226
full,538,a photo of a dome,1,0.0,0.0,generated/full/class_0538_seed1_a_photo_of_a_dome.png,5.0928,6.1226
full,539,a photo of a doormat,0,0.0,0.0,generated/full/class_0539_seed0_a_photo_of_a_doormat.png,5.1575,6.1226
full,539,a photo of a doormat,1,0.0,0.0,generated/full/class_0539_seed1_a_photo_of_a_doormat.png,5.1034,6.1226
full,540,a photo of a drilling platform,0,0.0,0.0,generated/full/class_0540_seed0_a_photo_of_a_drilling_platform.png,5.1187,6.1226
full,540,a photo of a drilling platform,1,0.0,0.0,generated/full/class_0540_seed1_a_photo_of_a_drilling_platform.png,5.0895,6.1226
full,541,a photo of a drum,0,0.0,0.0,generated/full/class_0541_seed0_a_photo_of_a_drum.png,5.1065,6.1226
full,541,a photo of a drum,1,0.0,0.0,generated/full/class_0541_seed1_a_photo_of_a_drum.png,5.1403,6.1226
full,542,a photo of a drumstick,0,0.0,0.0,generated/full/class_0542_seed0_a_photo_of_a_drumstick.png,5.0649,6.1226
full,542,a photo of a drumstick,1,0.0,0.0,generated/full/class_0542_seed1_a_photo_of_a_drumstick.png,5.1359,6.1226
full,543,a photo of a dumbbell,0,0.0,0.0,generated/full/class_0543_seed0_a_photo_of_a_dumbbell.png,5.1357,6.1226
full,543,a photo of a dumbbell,1,0.0,0.0,generated/full/class_0543_seed1_a_photo_of_a_dumbbell.png,5.1098,6.1226
full,544,a photo of a Dutch oven,0,0.0,0.0,generated/full/class_0544_seed0_a_photo_of_a_Dutch_oven.png,5.1602,6.1226
full,544,a photo of a Dutch oven,1,0.0,0.0,generated/full/class_0544_seed1_a_photo_of_a_Dutch_oven.png,5.1668,6.1226
full,545,a photo of a electric fan,0,0.0,0.0,generated/full/class_0545_seed0_a_photo_of_a_electric_fan.png,5.1501,6.1226
full,545,a photo of a electric fan,1,0.0,0.0,generated/full/class_0545_seed1_a_photo_of_a_electric_fan.png,5.1373,6.1226
full,546,a photo of a electric guitar,0,0.0,0.0,generated/full/class_0546_seed0_a_photo_of_a_electric_guitar.png,5.1342,6.1226
full,546,a photo of a electric guitar,1,0.0,0.0,generated/full/class_0546_seed1_a_photo_of_a_electric_guitar.png,5.1581,6.1226
full,547,a photo of a electric locomotive,0,0.0,0.0,generated/full/class_0547_seed0_a_photo_of_a_electric_locomotive.png,5.1358,6.1226
full,547,a photo of a electric locomotive,1,0.0,0.0,generated/full/class_0547_seed1_a_photo_of_a_electric_locomotive.png,5.1048,6.1226
full,548,a photo of a entertainment center,0,0.0,0.0,generated/full/class_0548_seed0_a_photo_of_a_entertainment_center.png,5.1026,6.1226
full,548,a photo of a entertainment center,1,0.0,0.0,generated/full/class_0548_seed1_a_photo_of_a_entertainment_center.png,5.0814,6.1226
full,549,a photo of a envelope,0,0.0,0.0,generated/full/class_0549_seed0_a_photo_of_a_envelope.png,5.0871,6.1226
full,549,a photo of a envelope,1,0.0,0.0,generated/full/class_0549_seed1_a_photo_of_a_envelope.png,5.1011,6.1226
full,550,a photo of a espresso maker,0,0.0,0.0,generated/full/class_0550_seed0_a_photo_of_a_espresso_maker.png,5.1268,6.1226
full,550,a photo of a espresso maker,1,0.0,0.0,generated/full/class_0550_seed1_a_photo_of_a_espresso_maker.png,5.0777,6.1226
full,551,a photo of a face powder,0,0.0,0.0,generated/full/class_0551_seed0_a_photo_of_a_face_powder.png,5.1041,6.1226
full,551,a photo of a face powder,1,0.0,0.0,generated/full/class_0551_seed1_a_photo_of_a_face_powder.png,5.1114,6.1226
full,552,a photo of a feather boa,0,0.0,0.0,generated/full/class_0552_seed0_a_photo_of_a_feather_boa.png,5.0591,6.1226
full,552,a photo of a feather boa,1,0.0,0.0,generated/full/class_0552_seed1_a_photo_of_a_feather_boa.png,5.1007,6.1226
full,553,a photo of a file,0,0.0,0.0,generated/full/class_0553_seed0_a_photo_of_a_file.png,5.0922,6.1226
full,553,a photo of a file,1,0.0,0.0,generated/full/class_0553_seed1_a_photo_of_a_file.png,5.0707,6.1226
full,554,a photo of a fireboat,0,0.0,0.0,generated/full/class_0554_seed0_a_photo_of_a_fireboat.png,5.1105,6.1226
full,554,a photo of a fireboat,1,0.0,0.0,generated/full/class_0554_seed1_a_photo_of_a_fireboat.png,5.1027,6.1226
full,555,a photo of a fire engine,0,0.0,0.0,generated/full/class_0555_seed0_a_photo_of_a_fire_engine.png,5.0716,6.1226
full,555,a photo of a fire engine,1,0.0,0.0,generated/full/class_0555_seed1_a_photo_of_a_fire_engine.png,5.1037,6.1226
full,556,a photo of a fire screen,0,0.0,0.0,generated/full/class_0556_seed0_a_photo_of_a_fire_screen.png,5.0607,6.1226
full,556,a photo of a fire screen,1,0.0,0.0,generated/full/class_0556_seed1_a_photo_of_a_fire_screen.png,5.1200,6.1226
full,557,a photo of a flagpole,0,0.0,0.0,generated/full/class_0557_seed0_a_photo_of_a_flagpole.png,5.0876,6.1226
full,557,a photo of a flagpole,1,0.0,0.0,generated/full/class_0557_seed1_a_photo_of_a_flagpole.png,5.0966,6.1226
full,558,a photo of a flute,0,0.0,0.0,generated/full/class_0558_seed0_a_photo_of_a_flute.png,5.1113,6.1226
full,558,a photo of a flute,1,0.0,0.0,generated/full/class_0558_seed1_a_photo_of_a_flute.png,5.0970,6.1226
full,559,a photo of a folding chair,0,0.0,0.0,generated/full/class_0559_seed0_a_photo_of_a_folding_chair.png,5.1147,6.1226
full,559,a photo of a folding chair,1,0.0,0.0,generated/full/class_0559_seed1_a_photo_of_a_folding_chair.png,5.1142,6.1226
full,560,a photo of a football helmet,0,0.0,0.0,generated/full/class_0560_seed0_a_photo_of_a_football_helmet.png,5.1241,6.1226
full,560,a photo of a football helmet,1,0.0,0.0,generated/full/class_0560_seed1_a_photo_of_a_football_helmet.png,5.1123,6.1226
full,561,a photo of a forklift,0,0.0,0.0,generated/full/class_0561_seed0_a_photo_of_a_forklift.png,5.1424,6.1226
full,561,a photo of a forklift,1,0.0,0.0,generated/full/class_0561_seed1_a_photo_of_a_forklift.png,5.1504,6.1226
full,562,a photo of a fountain,0,0.0,0.0,generated/full/class_0562_seed0_a_photo_of_a_fountain.png,5.1047,6.1226
full,562,a photo of a fountain,1,0.0,0.0,generated/full/class_0562_seed1_a_photo_of_a_fountain.png,5.1375,6.1226
full,563,a photo of a fountain pen,0,0.0,0.0,generated/full/class_0563_seed0_a_photo_of_a_fountain_pen.png,5.0775,6.1226
full,563,a photo of a fountain pen,1,0.0,0.0,generated/full/class_0563_seed1_a_photo_of_a_fountain_pen.png,5.1253,6.1226
full,564,a photo of a four-poster,0,0.0,0.0,generated/full/class_0564_seed0_a_photo_of_a_four-poster.png,5.1012,6.1226
full,564,a photo of a four-poster,1,0.0,0.0,generated/full/class_0564_seed1_a_photo_of_a_four-poster.png,5.0855,6.1226
full,565,a photo of a freight car,0,0.0,0.0,generated/full/class_0565_seed0_a_photo_of_a_freight_car.png,5.1723,6.1226
full,565,a photo of a freight car,1,0.0,0.0,generated/full/class_0565_seed1_a_photo_of_a_freight_car.png,5.1781,6.1226
full,566,a photo of a French horn,0,0.0,0.0,generated/full/class_0566_seed0_a_photo_of_a_French_horn.png,5.1992,6.1226
full,566,a photo of a French horn,1,0.0,0.0,generated/full/class_0566_seed1_a_photo_of_a_French_horn.png,5.2488,6.1226
full,567,a photo of a frying pan,0,0.0,0.0,generated/full/class_0567_seed0_a_photo_of_a_frying_pan.png,5.1733,6.1226
full,567,a photo of a frying pan,1,0.0,0.0,generated/full/class_0567_seed1_a_photo_of_a_frying_pan.png,5.2024,6.1226
full,568,a photo of a fur coat,0,0.0,0.0,generated/full/class_0568_seed0_a_photo_of_a_fur_coat.png,5.1441,6.1226
full,568,a photo of a fur coat,1,0.0,0.0,generated/full/class_0568_seed1_a_photo_of_a_fur_coat.png,5.1890,6.1226
full,569,a photo of a garbage truck,0,0.0,0.0,generated/full/class_0569_seed0_a_photo_of_a_garbage_truck.png,5.1985,6.1226
full,569,a photo of a garbage truck,1,0.0,0.0,generated/full/class_0569_seed1_a_photo_of_a_garbage_truck.png,5.1517,6.1226
full,570,a photo of a gasmask,0,0.0,0.0,generated/full/class_0570_seed0_a_photo_of_a_gasmask.png,5.2353,6.1226
full,570,a photo of a gasmask,1,0.0,0.0,generated/full/class_0570_seed1_a_photo_of_a_gasmask.png,5.0976,6.1226
full,571,a photo of a gas pump,0,0.0,0.0,generated/full/class_0571_seed0_a_photo_of_a_gas_pump.png,5.1114,6.1226
full,571,a photo of a gas pump,1,0.0,0.0,generated/full/class_0571_seed1_a_photo_of_a_gas_pump.png,5.1815,6.1226
full,572,a photo of a goblet,0,0.0,0.0,generated/full/class_0572_seed0_a_photo_of_a_goblet.png,5.1469,6.1226
full,572,a photo of a goblet,1,0.0,0.0,generated/full/class_0572_seed1_a_photo_of_a_goblet.png,5.1353,6.1226
full,573,a photo of a go-kart,0,0.0,0.0,generated/full/class_0573_seed0_a_photo_of_a_go-kart.png,5.1027,6.1226
full,573,a photo of a go-kart,1,0.0,0.0,generated/full/class_0573_seed1_a_photo_of_a_go-kart.png,5.1531,6.1226
full,574,a photo of a golf ball,0,0.0,0.0,generated/full/class_0574_seed0_a_photo_of_a_golf_ball.png,5.1233,6.1226
full,574,a photo of a golf ball,1,0.0,0.0,generated/full/class_0574_seed1_a_photo_of_a_golf_ball.png,5.1105,6.1226
full,575,a photo of a golfcart,0,0.0,0.0,generated/full/class_0575_seed0_a_photo_of_a_golfcart.png,5.1443,6.1226
full,575,a photo of a golfcart,1,0.0,0.0,generated/full/class_0575_seed1_a_photo_of_a_golfcart.png,5.1559,6.1226
full,576,a photo of a gondola,0,0.0,0.0,generated/full/class_0576_seed0_a_photo_of_a_gondola.png,5.1384,6.1226
full,576,a photo of a gondola,1,0.0,0.0,generated/full/class_0576_seed1_a_photo_of_a_gondola.png,5.1423,6.1226
full,577,a photo of a gong,0,0.0,0.0,generated/full/class_0577_seed0_a_photo_of_a_gong.png,5.1346,6.1226
full,577,a photo of a gong,1,0.0,0.0,generated/full/class_0577_seed1_a_photo_of_a_gong.png,5.1113,6.1226
full,578,a photo of a gown,0,0.0,0.0,generated/full/class_0578_seed0_a_photo_of_a_gown.png,5.1330,6.1226
full,578,a photo of a gown,1,0.0,0.0,generated/full/class_0578_seed1_a_photo_of_a_gown.png,5.1354,6.1226
full,579,a photo of a grand piano,0,0.0,0.0,generated/full/class_0579_seed0_a_photo_of_a_grand_piano.png,5.1711,6.1226
full,579,a photo of a grand piano,1,0.0,0.0,generated/full/class_0579_seed1_a_photo_of_a_grand_piano.png,5.1202,6.1226
full,580,a photo of a greenhouse,0,0.0,0.0,generated/full/class_0580_seed0_a_photo_of_a_greenhouse.png,5.1627,6.1226
full,580,a photo of a greenhouse,1,0.0,0.0,generated/full/class_0580_seed1_a_photo_of_a_greenhouse.png,5.1581,6.1226
full,581,a photo of a grille,0,0.0,0.0,generated/full/class_0581_seed0_a_photo_of_a_grille.png,5.1603,6.1226
full,581,a photo of a grille,1,0.0,0.0,generated/full/class_0581_seed1_a_photo_of_a_grille.png,5.2180,6.1226
full,582,a photo of a grocery store,0,0.0,0.0,generated/full/class_0582_seed0_a_photo_of_a_grocery_store.png,5.2170,6.1226
full,582,a photo of a grocery store,1,0.0,0.0,generated/full/class_0582_seed1_a_photo_of_a_grocery_store.png,5.1622,6.1226
full,583,a photo of a guillotine,0,0.0,0.0,generated/full/class_0583_seed0_a_photo_of_a_guillotine.png,5.1449,6.1226
full,583,a photo of a guillotine,1,0.0,0.0,generated/full/class_0583_seed1_a_photo_of_a_guillotine.png,5.1280,6.1226
full,584,a photo of a hair slide,0,0.0,0.0,generated/full/class_0584_seed0_a_photo_of_a_hair_slide.png,5.1578,6.1226
full,584,a photo of a hair slide,1,0.0,0.0,generated/full/class_0584_seed1_a_photo_of_a_hair_slide.png,5.1121,6.1226
full,585,a photo of a hair spray,0,0.0,0.0,generated/full/class_0585_seed0_a_photo_of_a_hair_spray.png,5.1164,6.1226
full,585,a photo of a hair spray,1,0.0,0.0,generated/full/class_0585_seed1_a_photo_of_a_hair_spray.png,5.0944,6.1226
full,586,a photo of a half track,0,0.0,0.0,generated/full/class_0586_seed0_a_photo_of_a_half_track.png,5.1254,6.1226
full,586,a photo of a half track,1,0.0,0.0,generated/full/class_0586_seed1_a_photo_of_a_half_track.png,5.1288,6.1226
full,587,a photo of a hammer,0,0.0,0.0,generated/full/class_0587_seed0_a_photo_of_a_hammer.png,5.1103,6.1226
full,587,a photo of a hammer,1,0.0,0.0,generated/full/class_0587_seed1_a_photo_of_a_hammer.png,5.1586,6.1226
full,588,a photo of a hamper,0,0.0,0.0,generated/full/class_0588_seed0_a_photo_of_a_hamper.png,5.1394,6.1226
full,588,a photo of a hamper,1,0.0,0.0,generated/full/class_0588_seed1_a_photo_of_a_hamper.png,5.1143,6.1226
full,589,a photo of a hand blower,0,0.0,0.0,generated/full/class_0589_seed0_a_photo_of_a_hand_blower.png,5.1345,6.1226
full,589,a photo of a hand blower,1,0.0,0.0,generated/full/class_0589_seed1_a_photo_of_a_hand_blower.png,5.1295,6.1226
full,590,a photo of a hand-held computer,0,0.0,0.0,generated/full/class_0590_seed0_a_photo_of_a_hand-held_computer.png,5.1243,6.1226
full,590,a photo of a hand-held computer,1,0.0,0.0,generated/full/class_0590_seed1_a_photo_of_a_hand-held_computer.png,5.1365,6.1226
full,591,a photo of a handkerchief,0,0.0,0.0,generated/full/class_0591_seed0_a_photo_of_a_handkerchief.png,5.2129,6.1226
full,591,a photo of a handkerchief,1,0.0,0.0,generated/full/class_0591_seed1_a_photo_of_a_handkerchief.png,5.1507,6.1226
full,592,a photo of a hard disc,0,0.0,0.0,generated/full/class_0592_seed0_a_photo_of_a_hard_disc.png,5.1304,6.1226
full,592,a photo of a hard disc,1,0.0,0.0,generated/full/class_0592_seed1_a_photo_of_a_hard_disc.png,5.1173,6.1226
full,593,a photo of a harmonica,0,0.0,0.0,generated/full/class_0593_seed0_a_photo_of_a_harmonica.png,5.0821,6.1226
full,593,a photo of a harmonica,1,0.0,0.0,generated/full/class_0593_seed1_a_photo_of_a_harmonica.png,5.0723,6.1226
full,594,a photo of a harp,0,0.0,0.0,generated/full/class_0594_seed0_a_photo_of_a_harp.png,5.0816,6.1226
full,594,a photo of a harp,1,0.0,0.0,generated/full/class_0594_seed1_a_photo_of_a_harp.png,5.0457,6.1226
full,595,a photo of a harvester,0,0.0,0.0,generated/full/class_0595_seed0_a_photo_of_a_harvester.png,5.0909,6.1226
full,595,a photo of a harvester,1,0.0,0.0,generated/full/class_0595_seed1_a_photo_of_a_harvester.png,5.0637,6.1226
full,596,a photo of a hatchet,0,0.0,0.0,generated/full/class_0596_seed0_a_photo_of_a_hatchet.png,5.1499,6.1226
full,596,a photo of a hatchet,1,0.0,0.0,generated/full/class_0596_seed1_a_photo_of_a_hatchet.png,5.1600,6.1226
full,597,a photo of a holster,0,0.0,0.0,generated/full/class_0597_seed0_a_photo_of_a_holster.png,5.1206,6.1226
full,597,a photo of a holster,1,0.0,0.0,generated/full/class_0597_seed1_a_photo_of_a_holster.png,5.1175,6.1226
full,598,a photo of a home theater,0,0.0,0.0,generated/full/class_0598_seed0_a_photo_of_a_home_theater.png,5.1834,6.1226
full,598,a photo of a home theater,1,0.0,0.0,generated/full/class_0598_seed1_a_photo_of_a_home_theater.png,5.1358,6.1226
full,599,a photo of a honeycomb,0,0.0,0.0,generated/full/class_0599_seed0_a_photo_of_a_honeycomb.png,5.0744,6.1226
full,599,a photo of a honeycomb,1,0.0,0.0,generated/full/class_0599_seed1_a_photo_of_a_honeycomb.png,5.1173,6.1226
full,600,a photo of a hook,0,0.0,0.0,generated/full/class_0600_seed0_a_photo_of_a_hook.png,5.1704,6.1226
full,600,a photo of a hook,1,0.0,0.0,generated/full/class_0600_seed1_a_photo_of_a_hook.png,5.1564,6.1226
full,601,a photo of a hoopskirt,0,0.0,0.0,generated/full/class_0601_seed0_a_photo_of_a_hoopskirt.png,5.1058,6.1226
full,601,a photo of a hoopskirt,1,0.0,0.0,generated/full/class_0601_seed1_a_photo_of_a_hoopskirt.png,5.1538,6.1226
full,602,a photo of a horizontal bar,0,0.0,0.0,generated/full/class_0602_seed0_a_photo_of_a_horizontal_bar.png,5.1204,6.1226
